,Resultado (V/L/E)
Rusia vs Arabia,L
Egipto vs Uruguay,V
Marruecos vs Iran,L
Portugal vs Espana,E
Francia vs Australia,L
Argentina vs Islandia,L
Peru vs Dianamarca,E
Croacia vs Nigeria,E
Costa Rica vs Serbia,V
Alemania vs Mexico,L
Brasil vs Suiza,L
Suecia vs Rep Corea,L
Belgica vs Panama,L
Tunez vs Inglaterra,V
Colombia vs Japon,L
Polonia vs Senegal,L
Rusia vs Egipto,L
Portugal vs Marruecos,E
Uruguay vs Arabia,L
Iran vs Espana,V
Dinamarca vs Australia,L
Francia vs Peru,L
Argentina vs Croacia,E
Brasil vs Costa Rica,L
Nigeria vs Islandia,L
Serbia vs Suiza,V
Belgica vs Tunez,L
Rep Corea vs Mexico,V
Alemania vs Suecia,L
Inglaterra vs Panama,L
Japon vs Senegal,V
Polonia vs Colombia,E
Uruguay vs Rusia,L
Arabia vs Egipto,E
Espana vs Marruecos,L
Iran vs Portugal,V
Australia vs Peru,V
Dinamarca vs Francia,V
Nigeria vs Argentina,V
Islandia vs Croacia,V
Rep Corea vs Alemania,V
Mexico vs Suecia,E
Serbia vs Brasil,V
Suiza vs Costa Rica,L
Japon vs Polonia,V
Senegal vs Colombia,V
Panama vs Tunez,E
Inglaterra vs Belgica,V
