,Resultado (V/L/E)
Rusia vs Arabia,E
Egipto vs Uruguay,V
Marruecos vs Iran,E
Portugal vs Espana,V
Francia vs Australia,L
Argentina vs Islandia,L
Peru vs Dianamarca,E
Croacia vs Nigeria,L
Costa Rica vs Serbia,V
Alemania vs Mexico,L
Brasil vs Suiza,L
Suecia vs Rep Corea,V
Belgica vs Panama,L
Tunez vs Inglaterra,V
Colombia vs Japon,L
Polonia vs Senegal,L
Rusia vs Egipto,V
Portugal vs Marruecos,L
Uruguay vs Arabia,L
Iran vs Espana,V
Dinamarca vs Australia,L
Francia vs Peru,L
Argentina vs Croacia,L
Brasil vs Costa Rica,L
Nigeria vs Islandia,E
Serbia vs Suiza,E
Belgica vs Tunez,L
Rep Corea vs Mexico,L
Alemania vs Suecia,L
Inglaterra vs Panama,L
Japon vs Senegal,V
Polonia vs Colombia,L
Uruguay vs Rusia,L
Arabia vs Egipto,V
Espana vs Marruecos,L
Iran vs Portugal,V
Australia vs Peru,V
Dinamarca vs Francia,V
Nigeria vs Argentina,V
Islandia vs Croacia,V
Rep Corea vs Alemania,V
Mexico vs Suecia,E
Serbia vs Brasil,V
Suiza vs Costa Rica,L
Japon vs Polonia,V
Senegal vs Colombia,L
Panama vs Tunez,E
Inglaterra vs Belgica,L
