,Resultado (V/L/E)
Rusia vs Arabia,L
Egipto vs Uruguay,V
Marruecos vs Iran,E
Portugal vs Espana,V
Francia vs Australia,L
Argentina vs Islandia,L
Peru vs Dianamarca,L
Croacia vs Nigeria,V
Costa Rica vs Serbia,L
Alemania vs Mexico,E
Brasil vs Suiza,L
Suecia vs Rep Corea,L
Belgica vs Panama,L
Tunez vs Inglaterra,V
Colombia vs Japon,L
Polonia vs Senegal,L
Rusia vs Egipto,E
Portugal vs Marruecos,L
Uruguay vs Arabia,L
Iran vs Espana,V
Dinamarca vs Australia,L
Francia vs Peru,L
Argentina vs Croacia,L
Brasil vs Costa Rica,L
Nigeria vs Islandia,L
Serbia vs Suiza,E
Belgica vs Tunez,L
Rep Corea vs Mexico,V
Alemania vs Suecia,L
Inglaterra vs Panama,L
Japon vs Senegal,E
Polonia vs Colombia,E
Uruguay vs Rusia,V
Arabia vs Egipto,V
Espana vs Marruecos,L
Iran vs Portugal,V
Australia vs Peru,V
Dinamarca vs Francia,V
Nigeria vs Argentina,V
Islandia vs Croacia,V
Rep Corea vs Alemania,V
Mexico vs Suecia,L
Serbia vs Brasil,V
Suiza vs Costa Rica,E
Japon vs Polonia,V
Senegal vs Colombia,E
Panama vs Tunez,L
Inglaterra vs Belgica,V
